strain,tempreture,strain_rate,flow_stress
0.10564792,25,0.3,111.1153884
0.109147608,25,0.3,119.5672729
0.116564233,25,0.3,128.9634156
0.120495094,25,0.3,133.9965476
0.127985684,25,0.3,144.2314034
0.136352732,25,0.3,149.4231868
0.140351183,25,0.3,158.7389714
0.148003783,25,0.3,168.3106966
0.151655164,25,0.3,171.7491074
0.159395097,25,0.3,177.4559578
0.167195405,25,0.3,179.7344454
0.171330837,25,0.3,182.919065
0.179213605,25,0.3,185.3394509
0.18718233,25,0.3,186.6990599
0.191389713,25,0.3,189.1349418
0.199444648,25,0.3,190.1427716
0.207564991,25,0.3,190.0734642
0.211428947,25,0.3,189.7365443
0.219647596,25,0.3,190.5601542
0.227934351,25,0.3,190.8450565
0.232329321,25,0.3,191.1572756
0.240709977,25,0.3,191.085085
0.244716763,25,0.3,190.8476963
0.253214782,25,0.3,190.295176
0.261785638,25,0.3,189.7811673
0.266332274,25,0.3,188.5664615
0.275004057,25,0.3,187.2975818
0.283764545,25,0.3,186.59241
0.287947978,25,0.3,186.7533604
0.296810091,25,0.3,186.5970979
0.305764575,25,0.3,186.4800267
0.310516115,25,0.3,186.0067378
0.319594737,25,0.3,185.3700017
0.324399231,25,0.3,184.953723
0.333605357,25,0.3,184.2895912
0.342897024,25,0.3,183.8623462
0.347828762,25,0.3,183.170832
0.357254161,25,0.3,182.5959803
0.366783202,25,0.3,182.2315419
0.371315566,25,0.3,181.4046252
0.380980199,25,0.3,180.4705716
0.39071056,25,0.3,180.0032917
0.395884455,25,0.3,178.9172778
0.403152914,25,0.3,177.7403126
0.41311714,25,0.3,177.0769067
0.423181652,25,0.3,176.0476329
0.428526765,25,0.3,174.7614578
0.438733371,25,0.3,173.4245441
0.449075535,25,0.3,172.6642005
0.453997613,25,0.3,171.2358282
0.464484302,25,0.3,169.7956419
0.475082128,25,0.3,169.082786
0.480697142,25,0.3,167.5957914
0.491469126,25,0.3,166.0251476
0.496620794,25,0.3,165.2131809
0.507550563,25,0.3,163.6359992
0.518617359,25,0.3,162.8713224
0.524482956,25,0.3,161.2525535
0.535756328,25,0.3,159.6278574
0.547141525,25,0.3,158.7318233
0.55257213,25,0.3,157.0998945
0.564151518,25,0.3,155.4315156
0.575866561,25,0.3,154.6262144
0.582096143,25,0.3,152.9533229
0.594007058,25,0.3,151.277933
0.606097015,25,0.3,150.4093367
0.611858362,25,0.3,148.7325551
0.624149371,25,0.3,147.0489992
0.630669952,25,0.3,146.2377023
0.643214231,25,0.3,144.5532256
0.655880598,25,0.3,143.6803211
0.662630874,25,0.3,141.989219
0.675566199,25,0.3,140.2999317
0.688671042,25,0.3,139.3887522
0.694929876,25,0.3,137.6932751
0.708292669,25,0.3,135.9961606
0.721836448,25,0.3,135.2100964
0.729048618,25,0.3,133.4778003
0.742878422,25,0.3,131.7738056
0.749487049,25,0.3,130.8880364
0.764331152,25,0.3,129.1498712
0.778682262,25,0.3,128.3291564
0.785532618,25,0.3,126.5260944
0.800171978,25,0.3,124.810608
0.815815773,25,0.3,124.015578
0.822926212,25,0.3,122.3264962
0.838127614,25,0.3,120.5399397
0.853563671,25,0.3,119.7686914
0.861772587,25,0.3,118.0982261
0.877580912,25,0.3,116.5038867
0.885169531,25,0.3,115.6578704
0.902213048,25,0.3,114.1061708
0.918679172,25,0.3,113.3998607
0.926563,25,0.3,111.8416267
0.943438439,25,0.3,110.467932
0.960603554,25,0.3,109.8501902
0.96976966,25,0.3,108.551817
0.987396817,25,0.3,107.3321482
1.005340274,25,0.3,106.6875524
1.013940879,25,0.3,105.5750628
1.033349555,25,0.3,104.5054639
1.042195546,25,0.3,104.0675828
1.06216602,25,0.3,102.9876089
1.081516086,25,0.3,102.5473085
1.090829408,25,0.3,101.5223704
1.11071841,25,0.3,100.6247587
1.131040996,25,0.3,100.1791258
1.147388488,25,0.3,99.18238088
1.157339123,25,0.3,98.20432773
1.178641998,25,0.3,97.11263212
1.200440707,25,0.3,96.76585601
1.212040753,25,0.3,95.92882519
1.234588215,25,0.3,95.0183774
1.257587783,25,0.3,94.46681873
1.268704139,25,0.3,93.47983779
1.292511472,25,0.3,92.48417139
1.31693554,25,0.3,92.04694015
1.330051316,25,0.3,91.02421964
1.355421638,25,0.3,90.02770019
1.36764959,25,0.3,89.48838304
1.395409366,25,0.3,88.51461569
1.422516658,25,0.3,88.08153296
1.435598768,25,0.3,86.87264249
1.463833514,25,0.3,85.6896662
1.492243311,25,0.3,85.14623927
1.506974946,25,0.3,84.0158374
1.534006608,25,0.3,82.89639908
0.0033936,100,0.3,2.94118
0.0067873,100,0.3,6.86275
0.0084504,100,0.3,13.4884
0.0117617,100,0.3,17.6744
0.0150729,100,0.3,22.3256
0.0183842,100,0.3,26.0465
0.0216955,100,0.3,30.2326
0.0250067,100,0.3,33.9535
0.028318,100,0.3,38.6047
0.0316292,100,0.3,42.7907
0.0349405,100,0.3,46.9767
0.0382517,100,0.3,50.6977
0.041057474,100,0.3,56.23433284
0.047399765,100,0.3,63.49685935
0.051084689,100,0.3,67.31796509
0.057491101,100,0.3,75.8591439
0.060545055,100,0.3,80.42293877
0.067012558,100,0.3,89.6919185
0.073522163,100,0.3,99.08950575
0.076969898,100,0.3,103.7843121
0.08353523,100,0.3,112.92159
0.087365672,100,0.3,117.158091
0.094009571,100,0.3,125.4081554
0.100697906,100,0.3,132.7898985
0.104230958,100,0.3,136.2287588
0.110998138,100,0.3,142.2124121
0.117791494,100,0.3,147.0023141
0.121035577,100,0.3,149.0267821
0.127907767,100,0.3,152.488892
0.13482751,100,0.3,155.1679225
0.13848345,100,0.3,156.2800897
0.145477021,100,0.3,157.9288966
0.152519847,100,0.3,159.0668689
0.156251522,100,0.3,159.4172794
0.163370913,100,0.3,159.8647054
0.166756072,100,0.3,160.0816547
0.173950914,100,0.3,160.0915683
0.181197898,100,0.3,159.7974691
0.18502769,100,0.3,159.6439428
0.192366426,100,0.3,159.2147022
0.199748602,100,0.3,158.6077103
0.203259392,100,0.3,158.2763644
0.210722723,100,0.3,157.3238556
0.215864968,100,0.3,156.5712291
0.223412257,100,0.3,155.3939888
0.231039262,100,0.3,154.1048666
0.234661847,100,0.3,153.4380908
0.242364183,100,0.3,151.9362053
0.250126305,100,0.3,150.3868733
0.254229951,100,0.3,149.5039414
0.262096603,100,0.3,147.8025209
0.265833675,100,0.3,146.9872221
0.273780859,100,0.3,145.1960314
0.282214496,100,0.3,143.3020152
0.286027656,100,0.3,142.3938747
0.294137617,100,0.3,140.5770973
0.302313887,100,0.3,138.7711768
0.306637854,100,0.3,137.8170824
0.314929535,100,0.3,136.0261505
0.323278304,100,0.3,134.1976145
0.327251624,100,0.3,133.3173647
0.335704343,100,0.3,131.555723
0.340187903,100,0.3,130.6235817
0.348738597,100,0.3,128.8313459
0.357375699,100,0.3,127.0491813
0.36195771,100,0.3,126.1334515
0.37071025,100,0.3,124.4167829
0.379540073,100,0.3,122.6635933
0.383743832,100,0.3,121.7728705
0.392690012,100,0.3,120.0374945
0.40171695,100,0.3,118.3138158
0.406507203,100,0.3,117.4280903
0.415646887,100,0.3,115.7693606
0.420019022,100,0.3,114.947048
0.429787226,100,0.3,113.2926695
0.43915693,100,0.3,111.7028914
0.444116574,100,0.3,110.9293819
0.453622151,100,0.3,109.4423602
0.463218952,100,0.3,108.0072714
0.467804595,100,0.3,107.3407939
0.477539141,100,0.3,105.959631
0.483727386,100,0.3,105.1778813
0.493618949,100,0.3,103.9324294
0.503609334,100,0.3,102.7330063
0.508914776,100,0.3,102.1072742
0.51905993,100,0.3,100.994201
0.529309064,100,0.3,99.88391101
0.534193667,100,0.3,99.39720733
0.544599905,100,0.3,98.40730289
0.550112598,100,0.3,97.86630618
0.560686703,100,0.3,96.9554933
0.571373816,100,0.3,96.04110232
0.576484573,100,0.3,95.66718517
0.587342787,100,0.3,94.8639183
0.598304084,100,0.3,94.09521602
0.604138019,100,0.3,93.66038721
0.615302397,100,0.3,92.95536208
0.626592826,100,0.3,92.31683245
0.631977851,100,0.3,92.04089335
0.643459226,100,0.3,91.46027189
0.655073955,100,0.3,90.94072889
0.661249718,100,0.3,90.66486836
0.673074166,100,0.3,90.19584253
0.678716126,100,0.3,90.00264042
0.691386647,100,0.3,89.52471899
0.703575084,100,0.3,89.15603148
0.70939229,100,0.3,89.01178305
0.721803556,100,0.3,88.6831692
0.734370799,100,0.3,88.40089351
0.741057929,100,0.3,88.23898816
0.753871063,100,0.3,87.95748337
0.766850507,100,0.3,87.62297046
0.773068064,100,0.3,87.46084172
0.786281307,100,0.3,87.15939852
0.793325995,100,0.3,86.98353407
0.807526297,100,0.3,86.64763447
0.821246237,100,0.3,86.34538111
0.827792244,100,0.3,86.26375178
0.841774489,100,0.3,85.98544199
0.855955013,100,0.3,85.7106613
0.863488951,100,0.3,85.53219775
0.878004346,100,0.3,85.27271438
0.892690285,100,0.3,85.04440688
0.899744567,100,0.3,84.97861086
0.914777823,100,0.3,84.7865652
0.922770051,100,0.3,84.6590627
0.938971379,100,0.3,84.40213613
0.954610788,100,0.3,84.20554879
0.962117377,100,0.3,84.12787092
0.978102387,100,0.3,83.90711516
0.994394963,100,0.3,83.64647419
1.003052401,100,0.3,83.50614026
1.019735488,100,0.3,83.21747157
1.036701629,100,0.3,82.94048064
1.044827881,100,0.3,82.82616163
1.062254527,100,0.3,82.5138676
1.071522672,100,0.3,82.31864079
1.089398698,100,0.3,81.90285185
1.107600101,100,0.3,81.40307978
1.117327359,100,0.3,81.1110432
1.136021535,100,0.3,80.60339361
1.155128091,100,0.3,80.05429633
1.164280697,100,0.3,79.8191701
1.184953786,100,0.3,79.1754217
1.204998643,100,0.3,78.59470089
1.218928268,100,0.3,77.99536099
1.229807276,100,0.3,77.65482572
1.250781392,100,0.3,77.04819517
1.272204863,100,0.3,76.41835928
1.282500147,100,0.3,76.15159788
1.304621728,100,0.3,75.60601452
1.327243764,100,0.3,75.04703377
1.339341093,100,0.3,74.7218168
1.362771782,100,0.3,74.15446447
1.386764667,100,0.3,73.54926892
1.398352695,100,0.3,73.27975112
1.423225535,100,0.3,72.67406137
1.436586949,100,0.3,72.29859445
1.4624036,100,0.3,71.65228201
1.488943716,100,0.3,70.97185679
1.503219222,100,0.3,70.57863046
1.530839487,100,0.3,69.86216373
1.559286477,100,0.3,69.1334716
1.573071609,100,0.3,68.8154532
1.602764101,100,0.3,68.03589537
1.633319924,100,0.3,67.23874847
1.649784965,100,0.3,66.76231896
1.680931377,100,0.3,65.97125502
1.710723794,100,0.3,65.16728618
1.724293862,100,0.3,64.86589874
1.752663487,100,0.3,64.19718998
1.764643989,100,0.3,64.0102077
1.78809074,100,0.3,63.70180125
1.809067537,100,0.3,63.58613906
1.819340762,100,0.3,63.56133831
1.837034485,100,0.3,63.70793823
1.852558657,100,0.3,64.01133294
0,200,0.3,0
0.0033936,200,0.3,1.96078
0.0067873,200,0.3,3.92157
0.0082277,200,0.3,7.02842
0.0115129,200,0.3,9.50904
0.014798,200,0.3,11.7829
0.0180832,200,0.3,14.4703
0.0213683,200,0.3,16.9509
0.0246535,200,0.3,19.2248
0.0279386,200,0.3,21.7054
0.0312238,200,0.3,24.3928
0.033763669,200,0.3,26.76294602
0.039995749,200,0.3,30.47327622
0.043295795,200,0.3,32.50395942
0.049578539,200,0.3,36.47107928
0.053243288,200,0.3,39.04103117
0.059598347,200,0.3,44.03615117
0.065994051,200,0.3,49.0299158
0.069371767,200,0.3,51.52469924
0.07583049,200,0.3,56.54556365
0.082331198,200,0.3,61.3664661
0.086118196,200,0.3,63.49718054
0.092686349,200,0.3,67.45534928
0.096155596,200,0.3,69.30663623
0.102790228,200,0.3,72.17508246
0.109469172,200,0.3,74.31289779
0.112653686,200,0.3,75.3182447
0.119389177,200,0.3,76.60300623
0.12618029,200,0.3,77.12783042
0.1297779,200,0.3,77.33906913
0.136640176,200,0.3,77.11362451
0.143549869,200,0.3,76.34186047
0.14683481,200,0.3,75.79111078
0.153815552,200,0.3,74.42897866
0.157514156,200,0.3,73.67772778
0.164570112,200,0.3,71.98088562
0.171665799,200,0.3,70.18203364
0.175431142,200,0.3,69.21862827
0.182615119,200,0.3,67.33230086
0.189851079,200,0.3,65.46602898
0.193291961,200,0.3,64.49623661
0.200605876,200,0.3,62.66019173
0.205644536,200,0.3,61.72185596
0.213049695,200,0.3,59.97386472
0.216974445,200,0.3,59.12408236
0.224453323,200,0.3,57.57175291
0.232010672,200,0.3,56.09034766
0.235999597,200,0.3,55.37278656
0.24363386,200,0.3,54.07882896
0.251326853,200,0.3,52.9070692
0.254986303,200,0.3,52.39001015
0.262767471,200,0.3,51.39659675
0.270609661,200,0.3,50.46428777
0.274767432,200,0.3,50.04374333
0.282693038,200,0.3,49.22827055
0.290693688,200,0.3,48.52495355
0.294512123,200,0.3,48.18368666
0.302608281,200,0.3,47.53810551
0.306889618,200,0.3,47.28493571
0.315087023,200,0.3,46.6947101
0.323352181,200,0.3,46.2104721
0.327735623,200,0.3,45.95794705
0.336106429,200,0.3,45.47622418
0.344535523,200,0.3,45.0449442
0.348565611,200,0.3,44.8637744
0.357113365,200,0.3,44.4819242
0.365734813,200,0.3,44.19581828
0.370295767,200,0.3,43.9947022
0.37903212,200,0.3,43.75568368
0.383203954,200,0.3,43.61992115
